DATE,MHIIL17031A052NCEN
1989-01-01,29711
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,33573
1994-01-01,.
1995-01-01,37824
1996-01-01,.
1997-01-01,40181
1998-01-01,41815
1999-01-01,43128
2000-01-01,45239
2001-01-01,43569
2002-01-01,42863
2003-01-01,42723
2004-01-01,43584
2005-01-01,48919
2006-01-01,50682
2007-01-01,52554
2008-01-01,54559
2009-01-01,52516
2010-01-01,51457
2011-01-01,50806
2012-01-01,52160
2013-01-01,53795
2014-01-01,55058
2015-01-01,56841
2016-01-01,60025
2017-01-01,61401
2018-01-01,63347
2019-01-01,69375
2020-01-01,71611
2021-01-01,72063
