DATE,MHITX48201A052NCEN
1989-01-01,29643
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,34500
1994-01-01,.
1995-01-01,35901
1996-01-01,.
1997-01-01,39037
1998-01-01,40690
1999-01-01,41466
2000-01-01,41220
2001-01-01,43279
2002-01-01,42704
2003-01-01,42262
2004-01-01,41922
2005-01-01,44085
2006-01-01,47159
2007-01-01,49977
2008-01-01,52391
2009-01-01,50577
2010-01-01,50437
2011-01-01,50924
2012-01-01,51298
2013-01-01,52533
2014-01-01,54230
2015-01-01,56670
2016-01-01,56415
2017-01-01,58664
2018-01-01,60241
2019-01-01,61638
2020-01-01,61906
2021-01-01,63539
