date, value
1/2/96,291
1/3/96,285
1/4/96,282.6
1/5/96,282
1/8/96,273
1/9/96,275.4
1/10/96,269.2
1/11/96,279.2
1/12/96,285
1/15/96,283.5
1/16/96,280.1
1/17/96,285.3
1/18/96,290
1/19/96,292.8
1/22/96,292.5
1/23/96,300.2
1/24/96,310.2
1/25/96,315.2
1/26/96,305.2
1/29/96,298.6
1/30/96,308.4
1/31/96,307.5
2/1/96,303.1
2/2/96,305
2/5/96,309.5
2/6/96,318.8
2/7/96,320.9
2/8/96,315
2/9/96,311
2/12/96,316.7
2/13/96,314.9
2/14/96,314
2/15/96,309.3
2/16/96,300.5
2/20/96,290.5
2/21/96,280.5
2/22/96,275.9
2/23/96,280.5
2/26/96,283.7
2/27/96,292.04
2/28/96,289.64
2/29/96,288.96
3/1/96,294.1
3/4/96,296
3/5/96,293.5
3/6/96,291.2
3/7/96,294.6
3/8/96,294
3/11/96,298.5
3/12/96,303.7
3/13/96,313.7
3/14/96,312.2
3/15/96,312.2
3/18/96,309.3
3/19/96,319.3
3/20/96,313
3/21/96,309
3/22/96,309.6
3/25/96,305.5
3/26/96,297.3
3/27/96,295.3
3/28/96,298.5
3/29/96,302.4
4/1/96,305.3
4/2/96,295.3
4/3/96,292.2
4/4/96,295.7
4/8/96,296
4/9/96,292.3
4/10/96,302.3
4/11/96,310.2
4/12/96,304.8
4/15/96,304.2
4/16/96,304.7
4/17/96,314.7
4/18/96,322.5
4/19/96,329
4/22/96,337.5
4/23/96,327.5
4/24/96,336.7
4/25/96,347.4
4/26/96,348.04
4/29/96,346.88
4/30/96,346.84
5/1/96,355.9
5/2/96,363.2
5/3/96,363
5/6/96,365.3
5/7/96,355.4
5/8/96,358.5
5/9/96,357.8
5/10/96,353
5/13/96,355.5
5/14/96,347.7
5/15/96,346.2
5/16/96,346.2
5/17/96,339.4
5/20/96,342.4
5/21/96,347.5
5/22/96,357.5
5/23/96,367.5
5/24/96,379.5
5/28/96,376
5/29/96,366
5/30/96,362.5
5/31/96,368
6/3/96,368.7
6/4/96,359.1
6/5/96,358.7
6/6/96,363
6/7/96,362.4
6/10/96,360.5
6/11/96,350.5
6/12/96,340.5
6/13/96,343.5
6/14/96,340.3
6/17/96,337.4
6/18/96,327.4
6/19/96,320.8
6/20/96,319.8
6/21/96,321.3
6/24/96,331.3
6/25/96,327.72
6/26/96,330.34
6/27/96,317.36
6/28/96,315.54
7/1/96,317.7
7/2/96,315.2
7/3/96,319.3
7/5/96,313.3
7/8/96,321.5
7/9/96,327.5
7/10/96,337.3
7/11/96,332.3
7/12/96,331.8
7/15/96,327.8
7/16/96,336.2
7/17/96,334.8
7/18/96,340.7
7/19/96,335.8
7/22/96,338.4
7/23/96,343.8
7/24/96,346
7/25/96,351.5
7/26/96,348.9
7/29/96,345
7/30/96,349.7
7/31/96,345.7
8/1/96,347.6
8/2/96,357.6
8/5/96,366.4
8/6/96,365.1
8/7/96,371.1
8/8/96,381.1
8/9/96,384.2
8/12/96,389.7
8/13/96,384.8
8/14/96,380.3
8/15/96,380.7
8/16/96,382
8/19/96,386.5
8/20/96,394.8
8/21/96,386.5
8/22/96,396.5
8/23/96,400.9
8/26/96,410.9
8/27/96,405.36
8/28/96,395.52
8/29/96,385.42
8/30/96,377.48
9/3/96,378.3
9/4/96,388.3
9/5/96,396.9
9/6/96,388
9/9/96,384.5
9/10/96,374.5
9/11/96,365.5
9/12/96,371
9/13/96,361
9/16/96,351
9/17/96,343.1
9/18/96,351.5
9/19/96,350.3
9/20/96,340.9
9/23/96,350.9
9/24/96,342.2
9/25/96,349.8
9/26/96,349.3
9/27/96,339.4
9/30/96,329.4
10/1/96,337.9
10/2/96,344.7
10/3/96,351
10/4/96,358.4
10/7/96,363.5
10/8/96,361.9
10/9/96,364.1
10/10/96,365.7
10/11/96,375.7
10/14/96,385.7
10/15/96,388.7
10/16/96,398.7
10/17/96,405
10/18/96,395
10/21/96,405
10/22/96,411.8
10/23/96,415.5
10/24/96,418.2
10/25/96,418
10/28/96,414.56
10/29/96,407.08
10/30/96,389.52
10/31/96,391.92
11/1/96,394.4
11/4/96,404.4
11/5/96,419.4
11/6/96,425.4
11/7/96,425
11/8/96,417.3
11/11/96,412.6
11/12/96,417.3
11/13/96,407.4
11/14/96,397.4
11/15/96,403.9
11/18/96,394.8
11/19/96,384.8
11/20/96,374.8
11/21/96,380.5
11/22/96,378
11/25/96,377.3
11/26/96,378.7
11/27/96,382.2
11/29/96,392.2
12/2/96,402.2
12/3/96,399.3
12/4/96,409.3
12/5/96,415.4
12/6/96,409.3
12/9/96,409.5
12/10/96,399.5
